age_upon_outcome,animal_id,animal_type,outcome_subtype,outcome_type,sex_upon_outcome
8 months,A695921,Cat,,Adoption,Neutered Male
5 years,A695922,Dog,,Adoption,Spayed Female
6 years,A695922,Dog,,Adoption,Spayed Female
6 years,A695922,Dog,,Adoption,Spayed Female
2 years,A695923,Dog,Partner,Transfer,Neutered Male
2 years,A695924,Dog,,Adoption,Spayed Female
6 months,A695927,Dog,,Adoption,Neutered Male
4 years,A695932,Dog,,Return to Owner,Spayed Female
1 year,A695933,Dog,,Return to Owner,Neutered Male
1 year,A695934,Dog,,Adoption,Neutered Male
2 years,A695935,Cat,Suffering,Euthanasia,Intact Male
3 years,A695936,Cat,Partner,Transfer,Neutered Male
6 months,A695938,Cat,,Adoption,Spayed Female
9 months,A695939,Dog,,Return to Owner,Spayed Female
10 months,A695940,Dog,,Return to Owner,Intact Male
1 year,A695940,Dog,,Return to Owner,Neutered Male
1 year,A695941,Dog,,Adoption,Neutered Male
4 years,A695942,Dog,,Adoption,Neutered Male
2 years,A695943,Dog,,Adoption,Neutered Male
4 years,A695944,Cat,Suffering,Euthanasia,Intact Male
1 year,A695946,Dog,,Adoption,Spayed Female
10 months,A695947,Dog,,Adoption,Spayed Female
2 years,A695950,Dog,Foster,Adoption,Spayed Female
10 months,A695951,Dog,,Return to Owner,Spayed Female
2 months,A695953,Dog,Partner,Transfer,Neutered Male
5 years,A695954,Dog,Suffering,Euthanasia,Intact Female
2 years,A695955,Cat,,Return to Owner,Neutered Male
2 years,A695958,Dog,,Return to Owner,Spayed Female
4 months,A695959,Dog,Partner,Transfer,Neutered Male
2 years,A695960,Dog,,Return to Owner,Neutered Male
2 months,A695962,Dog,Foster,Adoption,Spayed Female
1 month,A695963,Dog,Foster,Adoption,Neutered Male
2 months,A695964,Dog,Foster,Adoption,Spayed Female
2 months,A695965,Dog,Foster,Adoption,Neutered Male
1 month,A695966,Dog,Foster,Adoption,Spayed Female
2 months,A695967,Cat,,Adoption,Neutered Male
3 months,A695967,Cat,,Adoption,Neutered Male
1 year,A695968,Cat,SCRP,Transfer,Unknown
1 year,A695969,Cat,,Adoption,Spayed Female
1 year,A695969,Cat,Partner,Transfer,Spayed Female
4 years,A695970,Dog,,Adoption,Neutered Male
6 years,A695971,Cat,Suffering,Euthanasia,Intact Male
1 year,A695972,Dog,,Adoption,Spayed Female
1 year,A695972,Dog,,Adoption,Spayed Female
1 year,A695973,Dog,,Return to Owner,Neutered Male
8 years,A695975,Dog,,Return to Owner,Neutered Male
9 years,A695976,Dog,,Return to Owner,Spayed Female
7 years,A695978,Dog,Partner,Transfer,Intact Male
1 year,A695980,Dog,,Adoption,Neutered Male
2 years,A695981,Dog,,Adoption,Neutered Male
4 years,A695983,Dog,,Adoption,Neutered Male
10 months,A695984,Dog,Suffering,Euthanasia,Intact Male
1 year,A695985,Dog,,Adoption,Spayed Female
2 years,A695985,Dog,,Return to Owner,Spayed Female
1 year,A695986,Dog,,Adoption,Spayed Female
1 year,A695987,Dog,,Adoption,Spayed Female
1 year,A695987,Dog,,Adoption,Spayed Female
2 years,A695988,Dog,Partner,Transfer,Neutered Male
2 years,A695988,Dog,,Return to Owner,Neutered Male
1 year,A695989,Dog,,Return to Owner,Intact Male
2 years,A695990,Dog,,Return to Owner,Neutered Male
1 year,A695991,Dog,,Adoption,Spayed Female
1 year,A695991,Dog,,Adoption,Spayed Female
1 year,A695993,Dog,,Adoption,Neutered Male
3 years,A695995,Dog,,Adoption,Spayed Female
2 years,A695996,Dog,,Adoption,Neutered Male
2 years,A695997,Dog,,Adoption,Spayed Female
5 months,A696000,Cat,,Adoption,Neutered Male
1 year,A696002,Dog,,Adoption,Spayed Female
3 years,A696003,Dog,,Adoption,Neutered Male
5 years,A696004,Dog,Rabies Risk,Euthanasia,Spayed Female
5 months,A696005,Dog,Partner,Transfer,Spayed Female
7 months,A696006,Dog,,Adoption,Spayed Female
2 months,A696007,Dog,Partner,Transfer,Spayed Female
2 months,A696008,Dog,,Adoption,Neutered Male
1 year,A696008,Dog,,Return to Owner,Neutered Male
2 months,A696009,Dog,,Adoption,Spayed Female
2 months,A696010,Dog,Partner,Transfer,Spayed Female
2 months,A696011,Dog,Partner,Transfer,Intact Female
6 years,A696012,Dog,Partner,Transfer,Spayed Female
10 months,A696014,Dog,Suffering,Euthanasia,Intact Male
4 months,A696015,Dog,,Adoption,Neutered Male
1 year,A696017,Dog,Partner,Transfer,Intact Male
1 year,A696020,Dog,,Return to Owner,Intact Male
7 months,A696023,Dog,,Adoption,Spayed Female
7 months,A696024,Dog,,Adoption,Spayed Female
2 years,A696025,Dog,,Adoption,Neutered Male
3 years,A696026,Dog,,Adoption,Neutered Male
6 years,A696026,Dog,,Return to Owner,Neutered Male
2 years,A696027,Dog,,Adoption,Neutered Male
2 years,A696027,Dog,,Adoption,Neutered Male
5 years,A696031,Dog,,Return to Owner,Neutered Male
1 year,A696033,Cat,Suffering,Euthanasia,Intact Female
2 years,A696034,Dog,,Return to Owner,Intact Female
4 months,A696035,Dog,,Return to Owner,Intact Male
4 months,A696039,Dog,Partner,Transfer,Spayed Female
2 years,A696041,Dog,Partner,Transfer,Intact Male
5 months,A696042,Dog,,Adoption,Neutered Male
9 months,A696043,Dog,,Adoption,Spayed Female
1 year,A696044,Cat,Partner,Transfer,Neutered Male
2 years,A696045,Dog,Partner,Transfer,Intact Female
3 years,A696046,Cat,Partner,Transfer,Neutered Male
2 months,A696047,Dog,,Return to Owner,Spayed Female
1 year,A696047,Dog,,Adoption,Spayed Female
1 year,A696047,Dog,,Adoption,Spayed Female
5 years,A696048,Dog,,Adoption,Spayed Female
5 years,A696048,Dog,,Return to Owner,Spayed Female
6 years,A696049,Cat,Partner,Transfer,Intact Female
3 years,A696051,Dog,,Adoption,Neutered Male
6 months,A696052,Cat,SCRP,Transfer,Intact Female
3 years,A696054,Dog,,Return to Owner,Neutered Male
1 year,A696055,Dog,,Return to Owner,Intact Female
2 years,A696058,Dog,,Adoption,Neutered Male
2 years,A696058,Dog,,Adoption,Neutered Male
3 years,A696059,Dog,,Adoption,Neutered Male
10 months,A696060,Dog,,Adoption,Spayed Female
10 months,A696061,Dog,Partner,Transfer,Intact Female
13 years,A696062,Cat,,Adoption,Spayed Female
3 years,A696063,Dog,Partner,Transfer,Neutered Male
10 years,A696064,Dog,,Return to Owner,Neutered Male
8 months,A696065,Dog,Partner,Transfer,Intact Female
1 year,A696067,Cat,Partner,Transfer,Intact Male
9 years,A696070,Dog,Medical,Euthanasia,Spayed Female
3 years,A696071,Dog,Partner,Transfer,Neutered Male
5 years,A696072,Dog,Partner,Transfer,Neutered Male
3 years,A696078,Dog,Partner,Transfer,Spayed Female
3 years,A696083,Dog,,Adoption,Spayed Female
3 years,A696083,Dog,,Adoption,Spayed Female
5 years,A696083,Dog,,Adoption,Spayed Female
3 years,A696083,Dog,,Adoption,Spayed Female
5 years,A696086,Dog,,Adoption,Neutered Male
2 months,A696087,Cat,,Return to Owner,Neutered Male
8 months,A696088,Dog,,Adoption,Spayed Female
5 months,A696093,Cat,SCRP,Transfer,Intact Male
5 months,A696094,Cat,SCRP,Transfer,Intact Male
3 months,A696096,Cat,SCRP,Transfer,Intact Female
6 months,A696097,Dog,,Adoption,Spayed Female
5 years,A696100,Dog,,Adoption,Neutered Male
12 years,A696101,Dog,,Return to Owner,Neutered Male
3 years,A696104,Dog,,Return to Owner,Spayed Female
3 years,A696104,Dog,,Return to Owner,Spayed Female
4 years,A696105,Dog,,Adoption,Spayed Female
4 years,A696105,Dog,,Adoption,Spayed Female
2 months,A696106,Dog,,Adoption,Spayed Female
2 months,A696107,Dog,,Adoption,Spayed Female
2 years,A696108,Dog,,Adoption,Neutered Male
1 year,A696109,Cat,Partner,Transfer,Intact Female
5 years,A696110,Dog,Partner,Transfer,Neutered Male
4 months,A696111,Dog,,Adoption,Neutered Male
1 year,A696112,Cat,SCRP,Transfer,Unknown
7 months,A696113,Dog,,Adoption,Spayed Female
5 years,A696114,Cat,,Adoption,Neutered Male
9 months,A696115,Cat,,Adoption,Neutered Male
1 year,A696116,Dog,,Adoption,Spayed Female
1 year,A696117,Dog,,Adoption,Intact Female
4 years,A696118,Dog,,Adoption,Spayed Female
2 years,A696120,Dog,,Return to Owner,Spayed Female
2 years,A696120,Dog,Aggressive,Euthanasia,Spayed Female
3 years,A696125,Cat,Partner,Transfer,Intact Male
2 years,A696127,Dog,,Return to Owner,Neutered Male
1 year,A696132,Dog,,Adoption,Spayed Female
8 years,A696133,Dog,Partner,Transfer,Spayed Female
2 years,A696134,Cat,Foster,Adoption,Neutered Male
5 months,A696135,Dog,,Adoption,Neutered Male
1 year,A696139,Dog,Partner,Transfer,Neutered Male
5 years,A696142,Dog,,Return to Owner,Spayed Female
4 years,A696144,Dog,,Adoption,Neutered Male
3 years,A696145,Dog,,Adoption,Neutered Male
2 years,A696147,Dog,,Return to Owner,Intact Male
1 year,A696149,Cat,SCRP,Transfer,Unknown
1 month,A696151,Dog,Foster,Adoption,Neutered Male
1 month,A696152,Dog,Foster,Adoption,Spayed Female
1 month,A696153,Dog,Foster,Adoption,Neutered Male
4 months,A696154,Cat,Medical,Euthanasia,Intact Male
2 years,A696155,Dog,Foster,Adoption,Neutered Male
2 years,A696155,Dog,,Return to Owner,Neutered Male
2 years,A696155,Dog,,Return to Owner,Neutered Male
2 months,A696156,Dog,,Adoption,Spayed Female
2 months,A696157,Dog,Partner,Transfer,Intact Female
4 years,A696158,Dog,,Return to Owner,Intact Female
1 year,A696162,Dog,,Adoption,Neutered Male
1 year,A696163,Dog,Partner,Transfer,Intact Male
5 years,A696169,Dog,,Return to Owner,Neutered Male
3 years,A696170,Dog,,Adoption,Neutered Male
7 years,A696171,Cat,Foster,Adoption,Spayed Female
5 years,A696173,Dog,Partner,Transfer,Intact Male
1 year,A696174,Cat,Foster,Adoption,Neutered Male
1 month,A696185,Dog,Foster,Adoption,Spayed Female
2 years,A696186,Dog,,Adoption,Neutered Male
4 years,A696188,Dog,,Return to Owner,Intact Female
5 months,A696201,Dog,,Return to Owner,Spayed Female
4 months,A696201,Dog,,Adoption,Spayed Female
3 years,A696202,Dog,,Return to Owner,Neutered Male
4 years,A696203,Dog,,Adoption,Spayed Female
10 months,A696204,Dog,,Adoption,Neutered Male
2 years,A696205,Cat,,Adoption,Spayed Female
2 years,A696205,Cat,Partner,Transfer,Spayed Female
13 years,A696212,Dog,,Return to Owner,Neutered Male
3 years,A696213,Cat,SCRP,Transfer,Intact Female
6 months,A696214,Dog,,Adoption,Spayed Female
1 year,A696214,Dog,,Return to Owner,Spayed Female
1 year,A696215,Dog,,Adoption,Spayed Female
4 years,A696217,Dog,,Adoption,Spayed Female
5 months,A696218,Cat,,Adoption,Neutered Male
2 years,A696219,Cat,,Adoption,Spayed Female
8 years,A696221,Dog,,Return to Owner,Neutered Male
2 years,A696222,Cat,SCRP,Transfer,Intact Male
2 years,A696223,Cat,SCRP,Transfer,Intact Female
1 year,A696224,Dog,,Return to Owner,Spayed Female
5 years,A696225,Dog,Partner,Transfer,Spayed Female
3 months,A696228,Cat,,Adoption,Neutered Male
3 months,A696229,Cat,,Adoption,Spayed Female
3 months,A696230,Cat,,Adoption,Neutered Male
8 months,A696231,Cat,,Adoption,Neutered Male
10 months,A696232,Dog,,Adoption,Spayed Female
2 years,A696233,Dog,,Adoption,Spayed Female
1 year,A696234,Dog,,Adoption,Neutered Male
5 years,A696235,Dog,Partner,Transfer,Neutered Male
2 years,A696236,Dog,Partner,Transfer,Intact Male
4 years,A696237,Dog,,Adoption,Neutered Male
6 years,A696240,Dog,,Adoption,Spayed Female
3 years,A696241,Dog,,Return to Owner,Neutered Male
11 years,A696243,Cat,Foster,Adoption,Spayed Female
12 years,A696243,Cat,Foster,Adoption,Spayed Female
3 years,A696244,Dog,,Adoption,Spayed Female
5 years,A696245,Dog,,Died,Intact Male
2 years,A696246,Dog,,Adoption,Neutered Male
2 years,A696247,Dog,,Adoption,Spayed Female
2 years,A696247,Dog,,Adoption,Spayed Female
1 year,A696248,Dog,Partner,Transfer,Intact Female
3 weeks,A696249,Dog,Partner,Transfer,Intact Male
3 weeks,A696251,Dog,Partner,Transfer,Intact Female
3 weeks,A696252,Dog,Partner,Transfer,Intact Female
3 weeks,A696253,Dog,Partner,Transfer,Intact Female
3 weeks,A696254,Dog,Partner,Transfer,Intact Male
4 months,A696255,Dog,Partner,Transfer,Intact Male
5 months,A696256,Dog,Partner,Transfer,Intact Male
10 months,A696257,Cat,,Adoption,Spayed Female
2 years,A696258,Dog,,Adoption,Spayed Female
2 years,A696259,Dog,,Adoption,Neutered Male
4 years,A696260,Dog,,Return to Owner,Neutered Male
8 years,A696262,Dog,,Adoption,Spayed Female
2 years,A696264,Dog,Aggressive,Euthanasia,Neutered Male
8 years,A696266,Dog,,Return to Owner,Spayed Female
7 years,A696267,Dog,,Adoption,Neutered Male
2 years,A696268,Dog,,Adoption,Neutered Male
3 months,A696269,Cat,,Return to Owner,Neutered Male
4 years,A696272,Dog,,Return to Owner,Spayed Female
3 months,A696273,Dog,,Adoption,Spayed Female
1 year,A696274,Cat,Suffering,Euthanasia,Intact Male
2 years,A696275,Dog,,Adoption,Neutered Male
2 years,A696276,Dog,Aggressive,Euthanasia,Intact Male
2 years,A696278,Dog,Aggressive,Euthanasia,Intact Male
5 years,A696279,Dog,,Return to Owner,Intact Female
5 years,A696282,Dog,,Return to Owner,Intact Female
2 years,A696283,Dog,,Return to Owner,Spayed Female
3 years,A696283,Dog,Court/Investigation,Euthanasia,Spayed Female
1 month,A696284,Dog,,Adoption,Neutered Male
11 months,A696286,Dog,,Return to Owner,Spayed Female
3 years,A696286,Dog,,Adoption,Spayed Female
3 years,A696286,Dog,Partner,Transfer,Spayed Female
2 years,A696287,Dog,Partner,Transfer,Spayed Female
3 years,A696288,Dog,,Return to Owner,Spayed Female
2 years,A696289,Cat,SCRP,Transfer,Neutered Male
2 years,A696291,Dog,,Adoption,Neutered Male
1 year,A696292,Dog,,Return to Owner,Neutered Male
2 years,A696293,Dog,,Adoption,Spayed Female
4 years,A696293,Dog,,Return to Owner,Spayed Female
3 years,A696294,Dog,,Adoption,Spayed Female
2 years,A696296,Dog,,Adoption,Neutered Male
1 month,A696299,Cat,Foster,Adoption,Spayed Female
2 months,A696300,Cat,Foster,Adoption,Spayed Female
1 month,A696301,Cat,,Adoption,Neutered Male
1 month,A696302,Cat,Foster,Adoption,Neutered Male
1 year,A696304,Dog,,Adoption,Spayed Female
1 year,A696304,Dog,,Adoption,Spayed Female
8 months,A696317,Dog,,Adoption,Spayed Female
10 years,A696318,Cat,,Adoption,Neutered Male
12 years,A696319,Dog,Suffering,Euthanasia,Neutered Male
1 year,A696320,Cat,Partner,Transfer,Neutered Male
3 years,A696324,Dog,,Return to Owner,Spayed Female
3 years,A696324,Dog,,Adoption,Spayed Female
6 years,A696325,Dog,,Adoption,Neutered Male
1 year,A696326,Cat,Partner,Transfer,Neutered Male
1 year,A696328,Cat,SCRP,Transfer,Intact Female
2 years,A696331,Dog,Partner,Transfer,Intact Female
1 weeks,A696332,Dog,Partner,Transfer,Unknown
1 weeks,A696333,Dog,Partner,Transfer,Unknown
1 weeks,A696335,Dog,Partner,Transfer,Unknown
1 weeks,A696336,Dog,Partner,Transfer,Unknown
3 months,A696340,Cat,SCRP,Transfer,Unknown
3 months,A696341,Cat,SCRP,Transfer,Unknown
3 months,A696342,Cat,SCRP,Transfer,Unknown
3 months,A696343,Cat,SCRP,Transfer,Unknown
3 months,A696344,Cat,SCRP,Transfer,Intact Female
2 months,A696345,Dog,,Adoption,Spayed Female
1 year,A696345,Dog,Partner,Transfer,Spayed Female
3 years,A696346,Dog,Partner,Transfer,Intact Female
2 years,A696347,Dog,,Adoption,Spayed Female
2 years,A696348,Dog,Partner,Transfer,Neutered Male
2 years,A696349,Dog,,Adoption,Neutered Male
2 years,A696349,Dog,,Adoption,Neutered Male
2 months,A696350,Dog,,Adoption,Spayed Female
1 year,A696350,Dog,,Return to Owner,Spayed Female
2 months,A696351,Dog,,Adoption,Spayed Female
10 years,A696352,Dog,,Return to Owner,Spayed Female
5 years,A696354,Cat,,Adoption,Spayed Female
5 months,A696357,Dog,,Adoption,Spayed Female
4 years,A696358,Cat,Partner,Transfer,Spayed Female
5 years,A696361,Dog,,Adoption,Neutered Male
5 years,A696361,Dog,,Adoption,Neutered Male
5 years,A696361,Dog,,Adoption,Neutered Male
1 year,A696362,Dog,,Adoption,Neutered Male
1 year,A696363,Dog,,Adoption,Spayed Female
5 years,A696366,Cat,Suffering,Euthanasia,Intact Male
3 years,A696367,Dog,,Adoption,Neutered Male
2 years,A696368,Dog,,Return to Owner,Neutered Male
10 months,A696369,Cat,Partner,Transfer,Neutered Male
10 months,A696370,Cat,Partner,Transfer,Neutered Male
1 year,A696370,Cat,,Return to Owner,Neutered Male
2 years,A696371,Cat,SCRP,Transfer,Spayed Female
10 years,A696373,Cat,,Return to Owner,Neutered Male
5 years,A696381,Dog,Aggressive,Euthanasia,Neutered Male
2 years,A696382,Dog,,Adoption,Spayed Female
6 years,A696385,Dog,,Return to Owner,Spayed Female
6 months,A696386,Cat,SCRP,Transfer,Intact Female
1 year,A696388,Cat,SCRP,Transfer,Intact Female
6 years,A696390,Dog,Aggressive,Euthanasia,Intact Male
1 year,A696391,Dog,,Return to Owner,Neutered Male
10 years,A696393,Dog,Partner,Transfer,Spayed Female
10 years,A696393,Dog,,Return to Owner,Spayed Female
10 years,A696393,Dog,,Return to Owner,Spayed Female
6 years,A696394,Dog,,Adoption,Neutered Male
2 months,A696396,Dog,,Adoption,Spayed Female
2 months,A696396,Dog,,Adoption,Spayed Female
2 months,A696397,Dog,,Adoption,Neutered Male
2 years,A696399,Dog,,Return to Owner,Spayed Female
5 months,A696400,Cat,,Adoption,Spayed Female
10 months,A696404,Dog,Partner,Transfer,Spayed Female
2 years,A696405,Dog,Partner,Transfer,Spayed Female
2 years,A696405,Dog,,Adoption,Spayed Female
2 years,A696406,Dog,Partner,Transfer,Neutered Male
2 years,A696407,Dog,,Adoption,Spayed Female
2 years,A696408,Dog,Foster,Adoption,Spayed Female
2 months,A696409,Cat,,Adoption,Neutered Male
2 months,A696410,Cat,Partner,Transfer,Neutered Male
2 months,A696411,Cat,,Adoption,Intact Female
8 months,A696412,Cat,,Adoption,Neutered Male
8 months,A696413,Cat,SCRP,Transfer,Neutered Male
1 year,A696413,Cat,,Return to Owner,Neutered Male
2 years,A696414,Cat,Partner,Transfer,Spayed Female
6 months,A696415,Dog,,Adoption,Spayed Female
9 months,A696416,Dog,,Adoption,Spayed Female
1 year,A696418,Dog,,Adoption,Neutered Male
1 year,A696419,Dog,,Adoption,Neutered Male
1 year,A696419,Dog,,Adoption,Neutered Male
1 year,A696424,Cat,SCRP,Transfer,Intact Male
3 years,A696431,Dog,,Adoption,Spayed Female
3 years,A696431,Dog,Partner,Transfer,Spayed Female
2 years,A696438,Dog,,Return to Owner,Neutered Male
2 years,A696438,Dog,,Return to Owner,Neutered Male
10 months,A696439,Dog,Partner,Transfer,Neutered Male
1 year,A696441,Dog,,Adoption,Neutered Male
1 year,A696444,Cat,SCRP,Transfer,Unknown
1 month,A696445,Dog,Partner,Transfer,Intact Female
1 month,A696446,Dog,Partner,Transfer,Intact Female
1 month,A696447,Dog,Partner,Transfer,Intact Male
12 years,A696448,Dog,,Return to Owner,Spayed Female
3 years,A696449,Dog,,Return to Owner,Neutered Male
2 years,A696451,Dog,Suffering,Euthanasia,Intact Male
11 years,A696454,Dog,Suffering,Euthanasia,Neutered Male
2 months,A696469,Dog,,Adoption,Intact Male
3 years,A696472,Cat,,Return to Owner,Neutered Male
2 years,A696473,Dog,Partner,Transfer,Intact Female
1 year,A696475,Dog,,Adoption,Spayed Female
1 year,A696477,Dog,,Adoption,Neutered Male
1 year,A696478,Dog,Suffering,Euthanasia,Intact Male
1 year,A696479,Cat,,Adoption,Neutered Male
5 months,A696480,Dog,,Adoption,Spayed Female
5 months,A696480,Dog,,Adoption,Spayed Female
5 months,A696481,Dog,Partner,Transfer,Spayed Female
1 year,A696482,Dog,Partner,Transfer,Neutered Male
3 years,A696483,Dog,,Return to Owner,Intact Male
9 months,A696485,Dog,,Adoption,Spayed Female
13 years,A696493,Dog,,Adoption,Spayed Female
8 years,A696495,Dog,,Return to Owner,Spayed Female
4 months,A696497,Dog,,Adoption,Neutered Male
2 years,A696498,Dog,,Adoption,Neutered Male
2 years,A696498,Dog,Partner,Transfer,Neutered Male
1 year,A696500,Dog,Partner,Transfer,Intact Male
4 years,A696501,Dog,Partner,Transfer,Neutered Male
4 years,A696502,Dog,Medical,Euthanasia,Intact Male
3 years,A696508,Dog,,Return to Owner,Neutered Male
2 years,A696510,Dog,,Adoption,Spayed Female
4 years,A696511,Dog,,Adoption,Spayed Female
4 years,A696511,Dog,,Adoption,Spayed Female
4 years,A696511,Dog,,Adoption,Spayed Female
3 months,A696512,Dog,,Adoption,Spayed Female
2 years,A696513,Dog,Partner,Transfer,Intact Female
7 years,A696515,Dog,,Return to Owner,Spayed Female
1 year,A696516,Dog,,Adoption,Neutered Male
2 years,A696517,Cat,Suffering,Euthanasia,Intact Male
2 years,A696520,Dog,Aggressive,Euthanasia,Intact Female
4 months,A696522,Cat,,Adoption,Neutered Male
1 year,A696523,Dog,,Adoption,Spayed Female
1 year,A696524,Dog,,Adoption,Neutered Male
1 year,A696524,Dog,Foster,Adoption,Neutered Male
2 months,A696527,Cat,Suffering,Euthanasia,Intact Male
2 years,A696528,Dog,,Adoption,Spayed Female
5 years,A696529,Dog,,Return to Owner,Neutered Male
5 years,A696529,Dog,,Adoption,Neutered Male
1 year,A696530,Cat,SCRP,Transfer,Intact Female
1 year,A696531,Cat,SCRP,Transfer,Intact Male
8 months,A696532,Dog,,Adoption,Neutered Male
3 months,A696533,Dog,,Adoption,Spayed Female
2 months,A696534,Dog,,Adoption,Neutered Male
5 months,A696534,Dog,,Adoption,Neutered Male
7 months,A696535,Dog,,Adoption,Neutered Male
4 years,A696536,Dog,Partner,Transfer,Intact Female
